Id,Start time,Completion time,Email,Name,Gender / ?????,Age Range / ??????? ???????,What is your highest level of education? / ???? ???? ????? ?????? ?????,What’s your field of study? / ???? ??????,Do you have previous work experience? / ?? ???? ???? ??? ??????,"If yes, then in which main sector? / ??? ??? ?????? ???? ?? ?? ???? ??????
",In which specific sector? / ?? ?? ???? ?????????,How satisfied are you with your current job? / ????? ???? ?? ?????? ????????,Does your job match your skills and qualifications? / ?? ?????? ?????? ?? ??????? ? ????????,How many hours do you work per day? / ??? ????? ????? ???????,Night or day shift? / ????? ??? ?????? ?? ???????,Are your working hours suitable for your lifestyle? / ?? ????? ???? ?????? ?? ??? ??????,Does your company provide training or development opportunities? / ?? ???? ??? ???? ??? ????? ?? ??????,Do you see opportunities for promotion in your job? / ?? ??? ????? ??????? ?? ???????,Do you feel your job is stable long-term? / ?? ???? ?????????? ?? ???? ??? ????? ???????,What 3 factors influence your choice of job the most? / ???? ???? ????? ????? ???? ??? ??????? ??????? ???? ?? ???????? ???? ?????,Which would you choose? / ?? ?? ???????? ?????? ?? ??????,What would make you refuse a job even if the salary is acceptable? / ?? ?? ??? ???????? ?? ????? ???? ????? ??? ?? ???? ??????,Would you consider working in a manufacturing or industrial job? / ?? ???? ?? ????? ?? ???? ????????,What are your concerns about working in industrial/manufacturing jobs? / ?? ?? ?????? ???? ????? ?? ??????? ????????/??????????,Has Saudization improved job opportunities in your sector? / ?? ????? ??????? ??? ????? ??? ????? ?? ??????
16,3/30/2026 11:39,3/30/2026 11:43,anonymous,,Male / ???,25-34,Bachelor’s degree / ?????????,Engineering / ???????,Yes,Private / ???,Construction ,Slightly satisfied / ???? ??????,Partially matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,No,No,No,No,Salary / ??????;Work environment / ???? ?????;Career growth / ????? ???????;,High salary + Long hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Limited career growth / ??? ????? ?????;Location or transportation issues / ????? ?????????? ?? ???? ?????;,No,Low salary perception / ???? ??? ?????? ?????;Not aligned with my education / ?? ?????? ?? ???? ??????;,Yes
17,3/30/2026 11:38,3/30/2026 11:44,anonymous,,Female / ????,18-25,Bachelor’s degree / ?????????,??????,Yes,Private / ???,Accommodation and food service activities / ?????? ??????? ???????? ????????,Strongly satisfied / ???? ????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,Yes,No,Work environment / ???? ?????;Salary / ??????;,High salary + Long hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Mixed-gender work environment / ???? ??? ??????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,?? ???? ????? ????? ?? ?????? ?? ??? ??????? ??? ?? ,Safety concerns / ????? ?? ???????;Physically demanding / ????? ????? ????;,Yes
18,3/30/2026 11:42,3/30/2026 11:46,anonymous,,Male / ???,45-55 ,Bachelor’s degree / ?????????,Social Sciences / ?????? ??????????,Yes,Government / ?????,"Public administration and defense compulsory Social Security / ???????? ?????? ???????? ?????? ????????? ????????",Strongly satisfied / ???? ????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,Yes,Yes,Salary / ??????;Job stability / ????????? ???????;Social perception of the job / ???? ??????? ?? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Lack of job security / ??? ???? ???? ?????;Negative social perception / ???? ??????? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Limited career growth / ??? ????? ?????;Mixed-gender work environment / ???? ??? ??????;Location or transportation issues / ????? ?????????? ?? ???? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,?? ??? ????? ?? ?????,Physically demanding / ????? ????? ????;Safety concerns / ????? ?? ???????;Long hours / ????? ??? ?????;Not aligned with my education / ?? ?????? ?? ???? ??????;,Not sure / ??? ?????
19,3/30/2026 11:45,3/30/2026 11:48,anonymous,,Male / ???,35-44,Bachelor’s degree / ?????????,Engineering / ???????,Yes,Private / ???,Oil and gas ,Slightly satisfied / ???? ??????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,Yes,Yes,Salary / ??????;Working hours / ??? ????? ?????;Job stability / ????????? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Negative social perception / ???? ??????? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,Yes,NA;,Yes
20,3/30/2026 11:44,3/30/2026 11:49,anonymous,,Male / ???,25-34,Bachelor’s degree / ?????????,Engineering / ???????,Yes,Private / ???,"Professional, scientific and technical activities / ???????? ??????? ???????? ????????",Slightly satisfied / ???? ??????,Partially matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,No,Yes,Yes,Yes,Salary / ??????;Work environment / ???? ?????;Job stability / ????????? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;Lack of job security / ??? ???? ???? ?????;Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;,Yes,Safety concerns / ????? ?? ???????;Long hours / ????? ??? ?????;Low salary perception / ???? ??? ?????? ?????;Lack of career growth / ??? ???? ??? ?????;Not aligned with my education / ?? ?????? ?? ???? ??????;,Yes
21,3/30/2026 11:47,3/30/2026 11:49,anonymous,,Male / ???,25-34,Bachelor’s degree / ?????????,Engineering / ???????,Yes,Private / ???,Manufacturing / ???????,Strongly satisfied / ???? ????,Fully matches / ?????? ??????,8-10 hours / ?-?? ?????,Day / ??????,No,Yes,Yes,Yes,Job stability / ????????? ???????;Work environment / ???? ?????;Career growth / ????? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Limited career growth / ??? ????? ?????;Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;,I’m working in manufacturing sector ,I’m working in manufacturing ;,Yes
22,3/30/2026 11:46,3/30/2026 11:51,anonymous,,Male / ???,35-44,Bachelor’s degree / ?????????,????? ????? ,Yes,Private / ???,?????? ?????,Strongly dissatisfied / ??? ???? ????,Doesn’t match / ?? ??????,6-8 hours / ?-? ?????,Day / ??????,No,No,No,No,Salary / ??????;Working hours / ??? ????? ?????;Job stability / ????????? ???????;Work environment / ???? ?????;Career growth / ????? ???????;Transportation / ?????????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Lack of job security / ??? ???? ???? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Limited career growth / ??? ????? ?????;Location or transportation issues / ????? ?????????? ?? ???? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,???,Long hours / ????? ??? ?????;Low salary perception / ???? ??? ?????? ?????;Lack of career growth / ??? ???? ??? ?????;Not aligned with my education / ?? ?????? ?? ???? ??????;,No
23,3/30/2026 11:50,3/30/2026 11:54,anonymous,,Male / ???,25-34,Bachelor’s degree / ?????????,Finance,Yes,Government / ?????,Administrative and support service activities / ?????? ??????? ???????? ?????? ?????,Slightly satisfied / ???? ??????,Partially matches / ?????? ??????,Over 10 hours / ???? ?? ?? ?????,Day / ??????,No,Yes,Yes,No,Work environment / ???? ?????;Career growth / ????? ???????;Working hours / ??? ????? ?????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Lack of job security / ??? ???? ???? ?????;Limited career growth / ??? ????? ?????;,Yes,Safety concerns / ????? ?? ???????;Lack of career growth / ??? ???? ??? ?????;Not aligned with my education / ?? ?????? ?? ???? ??????;,Yes
24,3/30/2026 11:51,3/30/2026 11:55,anonymous,,Female / ????,35-44,PhD / ???????,Health-Medical / ?????-????,Yes,Government / ?????,Human health and social work activities / ?????? ????? ??????? ??????? ??????????,Strongly satisfied / ???? ????,Fully matches / ?????? ??????,8-10 hours / ?-?? ?????,Night / ??????,Yes,No,Yes,Yes,Salary / ??????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;,No ,Safety concerns / ????? ?? ???????;,Yes
25,3/30/2026 11:24,3/30/2026 11:56,anonymous,,Female / ????,18-25,Bachelor’s degree / ?????????,Information Technology-Computer Science / ????? ????????? ?? ???? ??????,No,Private / ???,Financial and insurance activities / ???????? ??????? ? ?????????,Strongly satisfied / ???? ????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,Yes,Yes,Working hours / ??? ????? ?????;Work environment / ???? ?????;Career growth / ????? ???????;,High salary + Long hours / ???? ????? + ????? ??? ?????,Negative social perception / ???? ??????? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;Limited career growth / ??? ????? ?????;,"No, because of the physical demanding and long hours ",Physically demanding / ????? ????? ????;Long hours / ????? ??? ?????;Not aligned with my education / ?? ?????? ?? ???? ??????;,Not sure / ??? ?????
26,3/30/2026 11:55,3/30/2026 11:59,anonymous,,Female / ????,25-34,Bachelor’s degree / ?????????,Marketing ,Yes,Private / ???,Procurement and Marketing ,Strongly satisfied / ???? ????,Fully matches / ?????? ??????,8-10 hours / ?-?? ?????,Day / ??????,No,Yes,Yes,Yes,Salary / ??????;Working hours / ??? ????? ?????;Work environment / ???? ?????;Job stability / ????????? ???????;Career growth / ????? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Lack of job security / ??? ???? ???? ?????;Negative social perception / ???? ??????? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,"No, not suitable for my major. ",Physically demanding / ????? ????? ????;Safety concerns / ????? ?? ???????;Long hours / ????? ??? ?????;Not aligned with my education / ?? ?????? ?? ???? ??????;,Yes
27,3/30/2026 11:57,3/30/2026 12:01,anonymous,,Female / ????,25-34,Master’s degree / ???????,Education / ???????,Yes,Non-profit organizations / ??????? ????? ?????,Administrative and support service activities / ?????? ??????? ???????? ?????? ?????,Slightly dissatisfied / ??? ???? ??????,Partially matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,No,No,No,Salary / ??????;Work environment / ???? ?????;Working hours / ??? ????? ?????;,Low salary + High growth potential / ???? ????? +  ??????? ??? ????? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Negative social perception / ???? ??????? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;Mixed-gender work environment / ???? ??? ??????;Location or transportation issues / ????? ?????????? ?? ???? ?????;,??,Safety concerns / ????? ?? ???????;Physically demanding / ????? ????? ????;Not aligned with my education / ?? ?????? ?? ???? ??????;,No
28,3/30/2026 11:56,3/30/2026 12:01,anonymous,,Female / ????,45-55 ,Diploma / ?????,Education / ???????,No,Government / ?????,Other service activities / ?????? ??????? ??????,Strongly satisfied / ???? ????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,No,Yes,Salary / ??????;Working hours / ??? ????? ?????;Work environment / ???? ?????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Location or transportation issues / ????? ?????????? ?? ???? ?????;,??,Physically demanding / ????? ????? ????;Safety concerns / ????? ?? ???????;,Not sure / ??? ?????
29,3/30/2026 11:59,3/30/2026 12:01,anonymous,,Female / ????,25-34,Bachelor’s degree / ?????????,Engineering / ???????,Yes,Private / ???,Other service activities / ?????? ??????? ??????,Strongly satisfied / ???? ????,Partially matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,No,No,Yes,Job stability / ????????? ???????;Work environment / ???? ?????;Transportation / ?????????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Lack of job security / ??? ???? ???? ?????;Negative social perception / ???? ??????? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Limited career growth / ??? ????? ?????;Location or transportation issues / ????? ?????????? ?? ???? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,??,Not aligned with my education / ?? ?????? ?? ???? ??????;,Yes
30,3/30/2026 11:59,3/30/2026 12:02,anonymous,,Female / ????,45-55 ,Bachelor’s degree / ?????????,Education / ???????,Yes,Private / ???,Education / ????????,Slightly satisfied / ???? ??????,Partially matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,Yes,No,Job stability / ????????? ???????;Salary / ??????;Career growth / ????? ???????;,Low salary + High growth potential / ???? ????? +  ??????? ??? ????? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;Mixed-gender work environment / ???? ??? ??????;,???,Physically demanding / ????? ????? ????;Safety concerns / ????? ?? ???????;Not aligned with my education / ?? ?????? ?? ???? ??????;,Yes
31,3/30/2026 11:58,3/30/2026 12:03,anonymous,,Male / ???,25-34,Bachelor’s degree / ?????????,Health-Medical / ?????-????,No,Private / ???,Human health and social work activities / ?????? ????? ??????? ??????? ??????????,Slightly satisfied / ???? ??????,Partially matches / ?????? ??????,Less than 6 / ??? ?? ? ?????,Day / ??????,Yes,Yes,Yes,Yes,Working hours / ??? ????? ?????;Salary / ??????;Job stability / ????????? ???????;Work environment / ???? ?????;Career growth / ????? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Lack of job security / ??? ???? ???? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Limited career growth / ??? ????? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,No,Long hours / ????? ??? ?????;Low salary perception / ???? ??? ?????? ?????;Lack of career growth / ??? ???? ??? ?????;Safety concerns / ????? ?? ???????;Physically demanding / ????? ????? ????;Not aligned with my education / ?? ?????? ?? ???? ??????;,Not sure / ??? ?????
32,3/30/2026 12:02,3/30/2026 12:06,anonymous,,Female / ????,45-55 ,Master’s degree / ???????,Health-Medical / ?????-????,Yes,Government / ?????,Education / ????????,Strongly satisfied / ???? ????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,Yes,Yes,Work environment / ???? ?????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,???,Physically demanding / ????? ????? ????;,Yes
33,3/30/2026 12:03,3/30/2026 12:06,anonymous,,Male / ???,25-34,Master’s degree / ???????,Engineering / ???????,Yes,Government / ?????,Financial and insurance activities / ???????? ??????? ? ?????????,Strongly satisfied / ???? ????,Partially matches / ?????? ??????,8-10 hours / ?-?? ?????,Day / ??????,Yes,Yes,Yes,Yes,Salary / ??????;Job stability / ????????? ???????;Work environment / ???? ?????;Career growth / ????? ???????;,High salary + Long hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;Limited career growth / ??? ????? ?????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,Of course,Low salary perception / ???? ??? ?????? ?????;Lack of career growth / ??? ???? ??? ?????;,Yes
34,3/30/2026 12:04,3/30/2026 12:09,anonymous,,Female / ????,18-25,Bachelor’s degree / ?????????,Accounting ,Yes,Private / ???,"Wholesale and retail trade, repair of motor vehicles and motorcycles / ????? ?????? ? ???????? ? ????? ???????? ??? ???????? ? ???????? ???????",Strongly satisfied / ???? ????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,No,No,Salary / ??????;Job stability / ????????? ???????;Work environment / ???? ?????;Career growth / ????? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;Lack of job security / ??? ???? ???? ?????;,"Yes, If I could work as an accountant ",Physically demanding / ????? ????? ????;Safety concerns / ????? ?? ???????;Long hours / ????? ??? ?????;,Yes
35,3/30/2026 12:10,3/30/2026 12:13,anonymous,,Female / ????,25-34,Bachelor’s degree / ?????????,Business Administration / ????? ?????,Yes,Private / ???,"Wholesale and retail trade, repair of motor vehicles and motorcycles / ????? ?????? ? ???????? ? ????? ???????? ??? ???????? ? ???????? ???????",Slightly satisfied / ???? ??????,Fully matches / ?????? ??????,8-10 hours / ?-?? ?????,Day / ??????,Yes,Yes,Yes,Yes,Salary / ??????;Work environment / ???? ?????;Working hours / ??? ????? ?????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,No,Physically demanding / ????? ????? ????;Not aligned with my education / ?? ?????? ?? ???? ??????;,Yes
36,3/30/2026 12:06,3/30/2026 12:13,anonymous,,Male / ???,35-44,Bachelor’s degree / ?????????,Business Administration / ????? ?????,Yes,Private / ???,Financial and insurance activities / ???????? ??????? ? ?????????,Strongly satisfied / ???? ????,Fully matches / ?????? ??????,8-10 hours / ?-?? ?????,Day / ??????,No,Yes,Yes,Yes,Salary / ??????;Work environment / ???? ?????;Career growth / ????? ???????;,High salary + Long hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,Yes,Not aligned with my education / ?? ?????? ?? ???? ??????;,Yes
37,3/30/2026 12:09,3/30/2026 12:14,anonymous,,Female / ????,45-55 ,Bachelor’s degree / ?????????,?????? ???????,Yes,Private / ???,Education / ????????,Slightly dissatisfied / ??? ???? ??????,Partially matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,No,No,Work environment / ???? ?????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Long or irregular working hours / ????? ??? ????? ?? ??? ?????? ;,??,Not aligned with my education / ?? ?????? ?? ???? ??????;,Yes
38,3/30/2026 12:17,3/30/2026 12:19,anonymous,,Female / ????,25-34,Master’s degree / ???????,Engineering / ???????,Yes,Private / ???,Real estate activities / ???????? ????????,Slightly dissatisfied / ??? ???? ??????,Fully matches / ?????? ??????,6-8 hours / ?-? ?????,Day / ??????,Yes,Yes,Yes,Yes,Salary / ??????;Job stability / ????????? ???????;Work environment / ???? ?????;Career growth / ????? ???????;,Moderate salary + Stable hours / ???? ????? + ????? ??? ?????,Lack of job security / ??? ???? ???? ?????;Negative social perception / ???? ??????? ?????;Unsafe or physically demanding work / ??? ??? ??? ?? ???? ??????;Lack of respect or treatment / ??? ???? ?????? ?? ????? ???;,??,Physically demanding / ????? ????? ????;Safety concerns / ????? ?? ???????;Long hours / ????? ??? ?????;Lack of career growth / ??? ???? ??? ?????;,Yes
